FID,ck_rating_,created_datetime,dataset,geometry,hide,id,location_type,neighborho,posted_dat,reason,submission_sets.support.length,submission_sets.support.url,submitter,updated_datetime,url,user_avata,user_name,visible
2958,1,2014-08-04T15:49:43.317177+00:00,568,POINT (-73.7868169999999992 40.6681609999999978),0,236974,previous-suggestion,South Jamaica,9/17/2011 0:00:00,,,,,2014-08-04T15:49:43.320290+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236974,,Ryan,True
2957,1,2014-08-04T15:49:43.226278+00:00,568,POINT (-73.8787630000000064 40.6541909999999973),0,236973,previous-suggestion,Spring Creek,9/17/2011 0:00:00,,,,,2014-08-04T15:49:43.229066+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236973,,Ryan,True
2956,2,2014-08-04T15:49:43.202156+00:00,568,POINT (-73.9042500000000047 40.7212660000000000),0,236972,previous-suggestion,Maspeth,9/17/2011 0:00:00,We do not have buses late in this area. Lot of people commute between L train in South and F train in the north.,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236972/support,,2014-08-04T15:49:43.204398+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236972,,tharun,True
2955,0,2014-08-04T15:49:43.192381+00:00,568,POINT (-73.8749870000000044 40.8092370000000031),0,236971,previous-suggestion,Hunts Point,,It is an out of the spot where bike should be,,,,2014-08-04T15:49:43.195224+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236971,,Driver,True
2954,2,2014-08-04T15:49:43.083439+00:00,568,POINT (-73.9154560000000060 40.7856499999999969),0,236970,previous-suggestion,Steinway,9/17/2011 0:00:00,,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236970/support,,2014-08-04T15:49:43.086679+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236970,,kris,True
2953,4,2014-08-04T15:49:43.047957+00:00,568,POINT (-73.9036109999999979 40.7735619999999983),0,236969,previous-suggestion,Astoria,9/17/2011 0:00:00,,,,,2014-08-04T15:49:43.051315+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236969,,kris,True
2952,3,2014-08-04T15:49:43.023998+00:00,568,POINT (-73.8746859999999970 40.8182660000000013),0,236968,previous-suggestion,Soundview,9/17/2011 0:00:00,,,,,2014-08-04T15:49:43.026804+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236968,,,True
2951,2,2014-08-04T15:49:42.997247+00:00,568,POINT (-73.9394889999999947 40.8479439999999983),0,236967,previous-suggestion,Washington Heights,9/17/2011 0:00:00,,,,,2014-08-04T15:49:42.999748+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236967,,,True
2950,14,2014-08-04T15:49:42.909914+00:00,568,POINT (-73.9526309999999967 40.7193710000000024),0,236966,previous-suggestion,Williamsburg,9/17/2011 0:00:00,,4,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236966/support,,2014-08-04T15:49:42.912465+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236966,,Tony,True
2949,4,2014-08-04T15:49:42.853817+00:00,568,POINT (-74.0186669999999935 40.6902550000000005),0,236965,previous-suggestion,Governors Island,9/17/2011 0:00:00,This will probably be an iteration of the current bike share station on Governors Island.,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236965/support,,2014-08-04T15:49:42.856803+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236965,,Ryan,True
2948,4,2014-08-04T15:49:42.819769+00:00,568,POINT (-73.9441560000000067 40.6729970000000023),0,236964,previous-suggestion,Crown Heights,9/17/2011 0:00:00,The Brooklyn Children' Museum is a tourist attraction and Brower Park is right next door.,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236964/support,,2014-08-04T15:49:42.825846+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236964,,Kay  Pryor,True
2947,0,2014-08-04T15:49:42.748917+00:00,568,POINT (-73.9517409999999984 40.7229079999999968),0,236963,previous-suggestion,Williamsburg,,close by the park,,,,2014-08-04T15:49:42.751273+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236963,,joe,True
2946,3,2014-08-04T15:49:42.687297+00:00,568,POINT (-74.2114430000000027 40.5344089999999966),0,236962,previous-suggestion,Woodrow,9/17/2011 0:00:00,,,,,2014-08-04T15:49:42.689984+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236962,,Ryan,True
2944,0,2014-08-04T15:49:42.617084+00:00,568,POINT (-73.8067089999999979 40.6979899999999972),0,236961,previous-suggestion,Jamaica,,Major transportation hub. Subways,,,,2014-08-04T15:49:42.620119+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236961,,,True
2945,3,2014-08-04T15:49:42.612625+00:00,568,POINT (-74.1204630000000009 40.6005219999999980),0,236960,previous-suggestion,Emerson Hill,9/17/2011 0:00:00,,,,,2014-08-04T15:49:42.615457+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236960,,Ryan,True
2943,2,2014-08-04T15:49:42.551839+00:00,568,POINT (-73.8917019999999951 40.7458010000000002),0,236959,previous-suggestion,Elmhurst,9/17/2011 0:00:00,It is a major transportation hub. People in this area could use bikes to get from home to the subway instead of riding buses.,,,,2014-08-04T15:49:42.554566+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236959,,,True
2942,3,2014-08-04T15:49:42.512900+00:00,568,POINT (-73.9763310000000018 40.7880219999999980),0,236958,previous-suggestion,Upper West Side,9/29/2011 0:00:00,its one of the most crowded stations on the upper west side,3,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236958/support,,2014-08-04T15:49:42.515523+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236958,,,True
2941,2,2014-08-04T15:49:42.385705+00:00,568,POINT (-74.1802009999999967 40.6401279999999971),0,236957,previous-suggestion,Port Ivory,9/17/2011 0:00:00,,,,,2014-08-04T15:49:42.388146+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236957,,Ryan,True
2940,5,2014-08-04T15:49:42.378496+00:00,568,POINT (-73.9027959999999950 40.6754439999999988),0,236956,previous-suggestion,Bushwick,9/17/2011 0:00:00,How about a bunch by this busy train hub.,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236956/support,,2014-08-04T15:49:42.381204+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236956,,Dan Zajackowski,True
2938,2,2014-08-04T15:49:42.341058+00:00,568,POINT (-73.9100380000000001 40.6827749999999995),0,236955,previous-suggestion,Bushwick,9/17/2011 0:00:00,Train station!,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236955/support,,2014-08-04T15:49:42.343834+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236955,,Dan Zajackowski,True
2939,0,2014-08-04T15:49:42.302488+00:00,568,POINT (-73.9024100000000033 40.7455730000000003),0,236954,previous-suggestion,Woodside,,Mass transit Hub,1,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236954/support,,2014-08-04T15:49:42.305063+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236954,,irfan,True
2937,6,2014-08-04T15:49:42.210385+00:00,568,POINT (-73.9164540000000017 40.6863630000000001),0,236953,previous-suggestion,Bedford-Stuyvesant,9/17/2011 0:00:00,Train station!,3,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236953/support,,2014-08-04T15:49:42.213090+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236953,,Dan Zajackowski,True
2936,4,2014-08-04T15:49:42.195186+00:00,568,POINT (-73.9493379999999974 40.6953930000000028),0,236952,previous-suggestion,Bedford-Stuyvesant,9/17/2011 0:00:00,G train!,3,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236952/support,,2014-08-04T15:49:42.197991+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236952,,Dan Zajackowski,True
2935,3,2014-08-04T15:49:42.124109+00:00,568,POINT (-73.9501530000000002 40.6994929999999968),0,236951,previous-suggestion,Williamsburg,9/17/2011 0:00:00,Right by the train.,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236951/support,,2014-08-04T15:49:42.127902+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236951,,Dan Zajackowski,True
2934,7,2014-08-04T15:49:42.069887+00:00,568,POINT (-73.9540149999999983 40.7070340000000002),0,236950,previous-suggestion,Williamsburg,9/17/2011 0:00:00,Train station!,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236950/support,,2014-08-04T15:49:42.072980+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236950,,Dan Zajackowski,True
2933,6,2014-08-04T15:49:42.012242+00:00,568,POINT (-73.9480180000000047 40.7040489999999977),0,236949,previous-suggestion,Williamsburg,9/17/2011 0:00:00,Need one right by the train.,,,,2014-08-04T15:49:42.014515+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236949,,Dan Zajackowski,True
2932,8,2014-08-04T15:49:42.004184+00:00,568,POINT (-73.9420209999999969 40.7004949999999965),0,236948,previous-suggestion,Williamsburg,9/17/2011 0:00:00,Train station and lots of commercial activity here.,2,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236948/support,,2014-08-04T15:49:42.006524+00:00,http://data.shareabouts.org/api/v2/nycdot/datasets/nycbikeshare/places/236948,,Dan Zajackowski,True
